seriesRank,seriesTitle,seriesLink,overallRating,numberOfRatings,timeRange,episodes,seasons,storyline,genres,language,countries
11,Cosmos,https://www.imdb.com/title/tt0081846/?ref_=chttvtp_t_11,9.3,52000,1980,13,1,Astronomer Carl Sagan leads us on an engaging guided tour of the various elements and cosmological theories of the universe.,Documentary,English,United States
98,X-Men '97,https://www.imdb.com/title/tt16026746/?ref_=chttvtp_t_98,8.7,51000,2024-,12,3,"A band of mutants use their uncanny gifts to protect a world that hates and fears them; they're challenged like never before, forced to face a dangerous and unexpected new future.","Action, Animation, Adventure",English,United States
155,Haikyuu!!,https://www.imdb.com/title/tt3398540/?ref_=chttvtp_t_155,8.7,51000,2014-2020,89,4,"Determined to be like the volleyball championship's star player nicknamed ""the small giant"", Shoyo joins his school's volleyball club.","Animation, Comedy, Drama",Japanese,Japan
217,Impractical Jokers,https://www.imdb.com/title/tt2100976/?ref_=chttvtp_t_217,8.5,51000,2011-,325,12,"Q, Sal, Joe and Murr are real-life best friends who love challenging each other to the most outrageous dares and stunts ever caught on hidden camera.",Comedy,English,United States
18,Life,https://www.imdb.com/title/tt1533395/?ref_=chttvtp_t_18,9.1,50000,2009,11,2,"A global view of the specialized strategies and extreme behavior that living things have developed in order to survive; what Charles Darwin termed ""the struggle for existence.""",Documentary,English,United Kingdom
28,The Blue Planet,https://www.imdb.com/title/tt0296310/?ref_=chttvtp_t_28,9,50000,2001,8,2,"Five years in the making, taking a look at the rich tapestry of life in the world's oceans.",Documentary,English,United Kingdom
159,The Offer,https://www.imdb.com/title/tt13111040/?ref_=chttvtp_t_159,8.6,50000,2022,10,1,Oscar-winning producer Albert S. Ruddy's never-before-revealed experiences of making The Godfather (1972).,"Documentary, Drama, Biography",English,United States
168,Blackadder the Third,https://www.imdb.com/title/tt0092324/?ref_=chttvtp_t_168,8.6,50000,1987,6,1,"In the Regency era, Mr E. Blackadder serves as butler to the foppish numskull Prince George amidst the fads and crazes of the time.",Comedy,English,United Kingdom
185,Young Justice,https://www.imdb.com/title/tt1641384/?ref_=chttvtp_t_185,8.6,50000,2010-2022,98,4,Teenage superheroes strive to prove themselves as members of the Justice League.,"Drama, Action, Adventure",English,United States
203,Coupling,https://www.imdb.com/title/tt0237123/?ref_=chttvtp_t_203,8.5,50000,2000-2004,28,4,Six best friends talk about all aspects of sex and relationships on their never-ending quest to find true love.,"Comedy, Romance",English,United Kingdom
47,Nathan for You,https://www.imdb.com/title/tt2297757/?ref_=chttvtp_t_47,8.9,49000,2013-2017,32,4,"Nathan Fielder uses his business degree and life experiences to, in unorthodox ways, help real small businesses turn a profit.","Comedy, Documentary",English,United States
165,Gomorrah,https://www.imdb.com/title/tt2049116/?ref_=chttvtp_t_165,8.6,49000,2014-2021,58,5,Ciro disregards tradition in his attempt to become the next boss of his crime syndicate. The internal power struggle puts him and his entire family's life at risk.,"Drama, Crime, Thriller",Neapolitan,Italy
219,Whose Line Is It Anyway?,https://www.imdb.com/title/tt0163507/?ref_=chttvtp_t_219,8.5,49000,1998-2007,220,8,Improvisational comedy competition show in which four members of the regular cast as comedians and often with guest appearances with other comedians and celebrities and members of the audience perform various comic games and sketches.,Comedy,English,United States
249,Your Lie in April,https://www.imdb.com/title/tt3895150/?ref_=chttvtp_t_249,8.5,48000,2014-2015,23,2,A piano prodigy who lost his ability to play after suffering a traumatic event in his childhood is forced back into the spotlight by an eccentric girl with a secret of her own.,"Animation, Drama, Romance",Japanese,Japan
127,Father Ted,https://www.imdb.com/title/tt0111958/?ref_=chttvtp_t_127,8.6,47000,1995-1998,25,3,"Three misfit priests and their housekeeper live on Craggy Island, not the peaceful and quiet part of Ireland that it seems to be.",Comedy,English,United Kingdom
14,Bluey,https://www.imdb.com/title/tt7678620/?ref_=chttvtp_t_14,9.3,46000,2018-,195,4,The slice-of-life adventures of an Australian Blue Heeler Cattle Dog puppy as she has fun with her family and friends in everyday situations.,"Adventure, Animation, Family",English,Australia
136,Mr Inbetween,https://www.imdb.com/title/tt7472896/?ref_=chttvtp_t_136,8.7,46000,2018-2021,26,3,"Ray Shoesmith is a father, ex-husband, boyfriend, brother and best friend; tough roles to juggle in the modern age. Especially, when you're also a criminal for hire.","Comedy, Crime, Drama",English,Australia
210,Ezel,https://www.imdb.com/title/tt1534360/?ref_=chttvtp_t_210,8.6,43000,2009-2011,71,2,"Betrayed by his trusted friends and the woman he loved, Ömer Uçar returns as Ezel to exact his vengeance.","Crime, Drama, Thriller",Turkish,Turkey
248,The Boondocks,https://www.imdb.com/title/tt0373732/?ref_=chttvtp_t_248,8.5,41000,2005-2014,56,4,Brothers Huey and Riley Freeman experience a culture clash when they leave Chicago to move in with their grandfather in the suburbs.,"Animation, Comedy, Action",English,United States
33,Frozen Planet,https://www.imdb.com/title/tt2092588/?ref_=chttvtp_t_33,9,40000,2011-2012,10,1,Focuses on life and the environment in both the Arctic and Antarctic.,Documentary,English,United Kingdom
66,Das Boot,https://www.imdb.com/title/tt0081834/?ref_=chttvtp_t_66,8.8,40000,1985,3,1,A World War II German U-Boat crew have a terrifying patrol mission in the early days of the war.,"War, Drama",German,West Germany
147,It's a Sin,https://www.imdb.com/title/tt9140342/?ref_=chttvtp_t_147,8.6,40000,2021,5,1,"It is 1981 and Ritchie, Roscoe and Colin begin a new life in London. Strangers at first, these lads and Jill find themselves thrown together. But a new virus is on the rise, and soon their lives will be tested in ways they never imagined.",Drama,English,United Kingdom
182,The Bugs Bunny Show,https://www.imdb.com/title/tt0053488/?ref_=chttvtp_t_182,8.6,38000,1960-1975,78,3,TV series featuring the classic Looney Tunes animated shorts.,"Animation, Comedy",English,United States
15,The World at War,https://www.imdb.com/title/tt0071075/?ref_=chttvtp_t_15,9.2,37000,1973-1974,26,2,"26-part documentary series tracing World War II from the rise of Nazi Germany through the conflict's major campaigns and home fronts, using archival footage and firsthand interviews, narrated by Laurence Olivier.","Documentary, History, War",English,United Kingdom
46,The Beatles: Get Back,https://www.imdb.com/title/tt9735318/?ref_=chttvtp_t_46,8.9,37000,2021,3,1,"In January 1969, The Beatles set out to write and record new songs for their first live show in more than two years, culminating in an impromptu concert atop their Savile Row studio.","Documentary, Biography, History",English,United Kingdom
188,Endeavour,https://www.imdb.com/title/tt2701582/?ref_=chttvtp_t_188,8.6,37000,2012-2023,36,9,"Set from 1965 into the 1970s, the show follows Endeavour Morse in his early years as a police constable. Working alongside his senior partner DI Fred Thursday, Morse engages in a number of investigations around Oxford.","Drama, Crime, Mystery",English,United Kingdom
21,The Vietnam War,https://www.imdb.com/title/tt1877514/?ref_=chttvtp_t_21,9.1,36000,2017,10,1,"A documentary series chronicling the Vietnam War through archival footage and firsthand accounts from soldiers, civilians, and leaders on all sides, tracing its origins, major events, and enduring impact on the United States and Vietnam.","Documentary, History, War",English,United States
38,As If,https://www.imdb.com/title/tt13675832/?ref_=chttvtp_t_38,9,36000,2021-2025,68,6,Yilmaz and Ilkkan are two friends who are constantly fighting each other. Their greatest feature is always being able to do something that will turn their ordinary lives upside down.,Comedy,Turkish,Turkey
63,When Life Gives You Tangerines,https://www.imdb.com/title/tt26471411/?ref_=chttvtp_t_63,9.1,36000,2025,16,1,"In Jeju, a spirited girl and a steadfast boy's island story blossoms into a lifelong tale of setbacks and triumphs, proving love endures across time.","Drama, History, Romance",Korean,South Korea
128,Behzat Ç: An Ankara Detective Story,https://www.imdb.com/title/tt1795096/?ref_=chttvtp_t_128,8.8,36000,2010-2019,105,4,An inharmonious police team in Ankara Police Force and its discredited police chief fight crime.,"Drama, Crime, Mystery",Turkish,Turkey
161,Pose,https://www.imdb.com/title/tt7562112/?ref_=chttvtp_t_161,8.6,36000,2018-2021,26,3,"In the New York of the late '80s and early '90s, this is a story of ball culture and the gay and trans community, the raging AIDS crisis, and capitalism.",Drama,English,United States
208,The Rehearsal,https://www.imdb.com/title/tt10802170/?ref_=chttvtp_t_208,8.5,36000,2022-,12,2,Nathan Fielder gives people a chance to rehearse for their own lives in a world where nothing ever works out as expected.,"Comedy, Documentary, Drama",English,United States
44,Dekalog,https://www.imdb.com/title/tt0092337/?ref_=chttvtp_t_44,8.9,35000,1989-1990,10,2,"Ten television drama films, each one based on one of the Ten Commandments.",Drama,Polish,Poland
183,QI,https://www.imdb.com/title/tt0380136/?ref_=chttvtp_t_183,8.6,35000,2003-,374,23,"A comedy panel game in which being Quite Interesting is more important than being right. Sandi Toksvig is joined each week by four comedians to share anecdotes and trivia, and maybe answer some questions as well.",Comedy,English,United Kingdom
34,Human Planet,https://www.imdb.com/title/tt1806234/?ref_=chttvtp_t_34,9,34000,2011,8,1,A cinematic experience bringing you the most amazing human stories in the world. Humans and wildlife surviving in the most extreme environments on Earth,Documentary,English,United Kingdom
175,Scavengers Reign,https://www.imdb.com/title/tt21056886/?ref_=chttvtp_t_175,8.6,34000,2023,12,1,The crew of a damaged deep space freighter are stranded on a beautiful but dangerous planet.,"Animation, Drama, Sci-Fi",English,United States
45,Taskmaster,https://www.imdb.com/title/tt4934214/?ref_=chttvtp_t_45,9,30000,2015-,195,20,"Five comedians are set tasks challenging their creativity and wit. The tasks are supervised by Alex Horne but the Taskmaster, Greg Davies, always has the final word.",Comedy,English,United Kingdom
73,Gullak,https://www.imdb.com/title/tt10530900/?ref_=chttvtp_t_73,9.1,30000,2019-,20,4,"Set in quaint by-lanes in the heart of India, Gullak is a collection of disarming and relatable tales of the Mishra family.","Comedy, Drama, Family",Hindi,India
191,The Venture Bros.,https://www.imdb.com/title/tt0417373/?ref_=chttvtp_t_191,8.6,30000,2003-2018,86,7,"The bizarre escapades of pseudo-heroic scientist Dr. Rusty Venture, his competent, high-strung bodyguard, and his two overenthusiastic sons.","Animation, Action, Adventure",English,United States
124,The Thick of It,https://www.imdb.com/title/tt0459159/?ref_=chttvtp_t_124,8.7,29000,2005-2012,24,4,The Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.,Comedy,English,United Kingdom
153,Lonesome Dove,https://www.imdb.com/title/tt0096639/?ref_=chttvtp_t_153,8.7,29000,1989,4,1,Two former Texas Rangers renew their spirit of adventure as they and several other residents of a small Texas town join a cattle drive to the Montana Territory.,"Drama, Western, Adventure",English,United States
151,Primal,https://www.imdb.com/title/tt10332508/?ref_=chttvtp_t_151,8.6,28000,2019-,30,3,A caveman and a dinosaur bond over unfortunate tragedies and become each other's only hope of survival in a treacherous world.,"Animation, Adventure, Horror",English,United States
179,Mystery Science Theatre 3000,https://www.imdb.com/title/tt0094517/?ref_=chttvtp_t_179,8.6,28000,1988-1999,199,11,"In the not-too-distant future Joel Robinson is held captive by Dr. Forrester and TV's Frank, forced to watch B-Grade movies on the Satellite of Love with the help of his robot friends: Cambot, Gypsy, Tom Servo and Crow T. Robot.","Comedy, Sci-Fi",English,United States
180,Yeh Meri Family,https://www.imdb.com/title/tt8595766/?ref_=chttvtp_t_180,8.9,28000,2018-,22,4,"Through the lens of a 90s kid, we witness a family navigate through the ups and downs of life during this magical and nostalgic era.","Comedy, Drama, Family",Hindi,India
115,Mahabharat,https://www.imdb.com/title/tt0158417/?ref_=chttvtp_t_115,8.9,27000,1988-1990,94,3,"When a dynastic struggle between the collateral branches of the Kuru clan, the Kauravas and Pandavas lead them to the threshold of war, Lord Krishna decides to step in and take control of the situation.","Drama, War, Action",Hindi,India
117,The Adventures of Sherlock Holmes,https://www.imdb.com/title/tt0086661/?ref_=chttvtp_t_117,8.7,27000,1984-1985,13,2,"Sherlock Holmes and Dr Watson solve the mysteries of copper beeches, a Greek interpreter, the Norwood builder, a resident patient, the red-headed league, and one final problem.","Crime, Drama, Mystery",English,United Kingdom
130,Ramayan,https://www.imdb.com/title/tt0268093/?ref_=chttvtp_t_130,9,27000,1987-1988,78,2,"An adaptation of the ancient epic in which the exiled Prince Rama and his brother Laxman set out to save Rama's wife, Sita, who has been kidnapped by the demon king of Lanka Ravana.","Drama, Fantasy, Adventure",Hindi,India
220,Alchemy of Souls,https://www.imdb.com/title/tt20859920/?ref_=chttvtp_t_220,8.7,27000,2022-2023,30,2,"Set in a fictional country called Daeho, it is about the love and growth of young mages as they overcome their twisted fates due to a forbidden magic spell known as the ""alchemy of souls"", which allows souls to switch bodies.","Fantasy, Romance, Drama",Korean,South Korea
36,The Civil War,https://www.imdb.com/title/tt0098769/?ref_=chttvtp_t_36,9,26000,1990,9,1,A comprehensive survey of the American Civil War.,"Documentary, History, War",English,United States
114,Justice League Unlimited,https://www.imdb.com/title/tt6025022/?ref_=chttvtp_t_114,8.7,25000,2004-2006,39,3,A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics universe.,"Animation, Action, Adventure",English,United States
205,Detectorists,https://www.imdb.com/title/tt4082744/?ref_=chttvtp_t_205,8.6,25000,2014-2022,20,3,"The lives of two eccentric metal detectorists, who spend their days plodding along ploughed tracks and open fields, hoping to disturb the tedium by unearthing the fortune of a lifetime.",Comedy,English,United Kingdom
206,I'm Alan Partridge,https://www.imdb.com/title/tt0129690/?ref_=chttvtp_t_206,8.6,24000,1997-2002,12,2,"A failed television presenter, now presenting a programme on local radio desperately tries to revive his broadcasting career.",Comedy,English,United Kingdom
228,The Eric Andre Show,https://www.imdb.com/title/tt2244495/?ref_=chttvtp_t_228,8.5,24000,2012-,68,6,"Eric Andre tries to host a talk show in a bizarre environment, where he is sometimes the player of pranks and sometimes the victim.",Comedy,English,United States
242,Takopi's Original Sin,https://www.imdb.com/title/tt36988358/?ref_=chttvtp_t_242,8.7,24000,2025,6,1,"Takopi travels from his home of Happy Planet to spread happiness on Earth, but meets the unsmiling Shizuka. Her school friends and home life are causing her somber expression and pure hearted Takopi is determined to change things.","Animation, Drama, Sci-Fi",Japanese,Japan
243,Avrupa Yakasi,https://www.imdb.com/title/tt0421291/?ref_=chttvtp_t_243,8.6,24000,2004-2009,190,6,The life and times of the rather traditional Sutcuoglu family and their comedic struggles to adapt the high-profile contemporary life of Nisantasi.,Comedy,Turkish,Turkey
53,Africa,https://www.imdb.com/title/tt2571774/?ref_=chttvtp_t_53,8.9,23000,2013,7,1,"Africa, the world's wildest continent. David Attenborough takes an awe-inspiring journey through one of the most diverse places in the world. We visit deserts, savannas, and jungles and meet up with some of Africa's amazing wildlife.",Documentary,English,United Kingdom
231,My Brilliant Friend,https://www.imdb.com/title/tt7278862/?ref_=chttvtp_t_231,8.6,23000,2018-2024,34,4,A woman recounts the lifelong friendship and conflicts with a girl she met at primary school in Naples during the early 1950s.,Drama,Italian,Italy
83,"I, Claudius",https://www.imdb.com/title/tt0074006/?ref_=chttvtp_t_83,8.8,22000,1976,13,1,"The personal and governmental affairs of the Julio-Claudian dynasty at the beginning of the Roman Empire, as recalled by one of its rulers.","Drama, Biography, History",English,United Kingdom
224,All Creatures Great & Small,https://www.imdb.com/title/tt10590066/?ref_=chttvtp_t_224,8.6,22000,2020-,44,8,"James Herriot, fresh out of Glasgow Veterinary College, pursues his dream to become a vet in the Yorkshire Dales. He discovers that treating the animals is as much about treating their owners, and the Dales' farmers are a tough to please.","Drama, Comedy",English,United Kingdom
51,Apocalypse: The Second World War,https://www.imdb.com/title/tt1508238/?ref_=chttvtp_t_51,9,21000,2009,6,1,"This six-part series traces the Second World War, from the rise of the Nazis to the surrender of the Japanese, with detailed portraits of key figures.","Documentary, History, War",French,France
139,Sarabhai V/S Sarabhai,https://www.imdb.com/title/tt1518542/?ref_=chttvtp_t_139,8.8,20000,2004-2017,79,2,"Revolves around the lives of the members of an Uber Wealthy - High Society Gujarati family of Cuffe Parade - South Mumbai, whose daughter-in-law is from a middle class Delhi background.",Comedy,Hindi,India
199,Rocket Boys,https://www.imdb.com/title/tt13868972/?ref_=chttvtp_t_199,8.8,20000,2022-,16,2,"The story of two extraordinary men, Dr. Homi Jehangir Bhabha and Dr. Vikram Ambalal Sarabhai, who created history while building India's future.","Drama, History",Hindi,India
236,Gintama,https://www.imdb.com/title/tt0988818/?ref_=chttvtp_t_236,8.7,20000,2005-2021,375,8,"In an era where aliens have invaded and taken over feudal Tokyo, an unemployed samurai finds work however he can.","Animation, Comedy, Action",English,Japan
160,The Bureau,https://www.imdb.com/title/tt4063800/?ref_=chttvtp_t_160,8.7,19000,2015-2020,50,5,"A very unique and captivating series about the ""bureau des légendes"", the mythical powerhouse within the French Secret Service and its dare devil ghost agents.","Drama, Thriller",French,France
164,Yes Minister,https://www.imdb.com/title/tt0080306/?ref_=chttvtp_t_164,8.6,19000,1980-1984,22,3,"The Right Honorable James Hacker has landed the plum job of Cabinet Minister to the Department of Administration. At last he is in a position of power and can carry out some long-needed reforms, or so he thinks.",Comedy,English,United Kingdom
230,Through the Wormhole,https://www.imdb.com/title/tt1513168/?ref_=chttvtp_t_230,8.6,19000,2010-2017,62,8,"Morgan Freeman explores humanity's biggest questions: our composition, what preceded existence, if we're alone in the universe, and whether there's a creator - mysteries that have challenged our greatest minds.",Documentary,English,United States
82,Reply 1988,https://www.imdb.com/title/tt5182866/?ref_=chttvtp_t_82,9,18000,2015-2016,20,2,"Five childhood friends, who all live in the same Ssangmundong neighborhood of Seoul in 1988, lean on each other to survive their challenging teen years and set a path for their futures.","Drama, Comedy, Family",Korean,South Korea
240,Rurôni Kenshin: Meiji kenkaku romantan - Tsuioku-hen,https://www.imdb.com/title/tt0203082/?ref_=chttvtp_t_240,8.6,18000,1999,4,1,"In the era of Japan's Meiji Restoration, an assassin regains his humanity.","Animation, Action, Adventure",Japanese,Japan
122,How to with John Wilson,https://www.imdb.com/title/tt10801534/?ref_=chttvtp_t_122,8.7,17000,2020-2023,18,3,An anxious New Yorker attempts to give everyday advice while dealing with his own personal issues.,"Documentary, Comedy",English,United States
133,Fighting Spirit,https://www.imdb.com/title/tt0481256/?ref_=chttvtp_t_133,8.8,17000,2000-2002,76,3,"Ippo, a teenage boy with a pure heart and unrelenting determination, discovers a passion for boxing after veteran fighter Takamura saves him from bullies.","Animation, Action, Comedy",Japanese,Japan
163,El Chavo del Ocho,https://www.imdb.com/title/tt0229889/?ref_=chttvtp_t_163,8.7,17000,1972-1983,356,8,"The misadventures of a poor, homeless, fumbling boy and his friends in their humble neighborhood.","Comedy, Family",Spanish,Mexico
174,Homicide: Life on the Street,https://www.imdb.com/title/tt0106028/?ref_=chttvtp_t_174,8.7,17000,1993-1999,122,7,An American police procedural television series chronicling the work of a fictional version of the Baltimore Police Department's Homicide Unit.,"Drama, Crime, Mystery",English,United States
211,Long Way Round,https://www.imdb.com/title/tt0403778/?ref_=chttvtp_t_211,8.6,17000,2004-2010,10,1,"Ewan McGregor and Charley Boorman embark on a grueling quest to motorbike from London to New York. Going east through Europe, Asia and then to Alaska, they experience different cultures and have to overcome the elements and adversity.","Documentary, Adventure",English,United Kingdom
90,My Mister,https://www.imdb.com/title/tt7923710/?ref_=chttvtp_t_90,9,15000,2018,16,2,"A man in his 40s withstands the weight of life. A woman in her 20s goes through different experiences, but also withstands the weight of her life. The man and woman get together to help each other.","Drama, Family",Korean,South Korea
162,The Return of Sherlock Holmes,https://www.imdb.com/title/tt0090509/?ref_=chttvtp_t_162,8.7,15000,1986-1988,11,2,"Sherlock Holmes and Dr Watson solve the mysteries of the devil's foot, Silver Blaze, Wisteria Lodge and the Bruce-Partington Plans.","Crime, Drama, Mystery",English,United Kingdom
172,Critical Role,https://www.imdb.com/title/tt4834232/?ref_=chttvtp_t_172,9,15000,2015-,390,4,"A live weekly show in which a band of professional voice actors improvise, role-play, and roll their way through an epic Dungeons and Dragons campaign.","Adventure, Fantasy",English,United States
192,"Yes, Prime Minister",https://www.imdb.com/title/tt0086831/?ref_=chttvtp_t_192,8.6,15000,1986-1987,16,2,James Hacker was propelled along the corridors of power to the very pinnacle of politics - Number 10.,Comedy,English,United Kingdom
238,The Great British Bake Off,https://www.imdb.com/title/tt1877368/?ref_=chttvtp_t_238,8.6,15000,2010-,203,17,Bakers attempt three challenges each week trying to impress the judges enough to go through to the next round and eventually are crowned Britain's best amateur baker.,"Game Show, Reality TV, Cooking Competition",English,United Kingdom
247,Mahabharat,https://www.imdb.com/title/tt3212600/?ref_=chttvtp_t_247,8.7,15000,2013-2014,267,2,"The mother of all wars, the epitome of all rivalries, the cauldron of emotions, insecurities, jealousies, and power play - Mahabharat.","Drama, War, History",Hindi,India
195,Senke nad Balkanom,https://www.imdb.com/title/tt6108262/?ref_=chttvtp_t_195,8.8,14000,2017-2020,20,2,"A historical fiction drama and thriller set in the turbulent period of the late 1920s in the Balkans as a place where high politics, local interests, capital and crime all merge together.","Crime, Drama, Thriller",Serbian,Serbia
167,Greatest Events of WWII in Colour,https://www.imdb.com/title/tt9103932/?ref_=chttvtp_t_167,8.6,13000,2019,10,1,A series of colorized archive footage of important events during World War II.,"Documentary, History, War",English,United Kingdom
241,Brass Eye,https://www.imdb.com/title/tt0118273/?ref_=chttvtp_t_241,8.6,13000,1997-2001,7,2,"Controversial spoof of current affairs television, and the role of celebrity in the UK.",Comedy,English,United Kingdom
244,Twinkling Watermelon,https://www.imdb.com/title/tt27446493/?ref_=chttvtp_t_244,8.9,13000,2023,16,1,"""Sparkling Watermelon"" will tell the story of a boy living a double life between a model student and a band member who gets to time slip and meets his 18-year-old father. The two will build friendships there.","Drama, Comedy, Romance",Korean,South Korea
111,Still Game,https://www.imdb.com/title/tt0281491/?ref_=chttvtp_t_111,8.9,11000,2002-2019,63,9,"Cult Scottish comedy about the lives of two OAP's Jack and Victor and their views on how it used to be in the old days and how bad it is now in the fictional area of Craiglang, Glasgow.",Comedy,English,United Kingdom
222,Mind Your Language,https://www.imdb.com/title/tt0075537/?ref_=chttvtp_t_222,8.7,11000,1977-1986,42,4,A diverse group of immigrants and foreigners learn English at an adult education school in London.,Comedy,English,United Kingdom
226,Adventure Time: Fionna & Cake,https://www.imdb.com/title/tt15248880/?ref_=chttvtp_t_226,8.7,11000,2023-,20,2,"Fionna, her best friend Cake and the former Ice King, Simon Petrikov, embark on an adventure through the multiverse, dodging new threats and making self-discoveries along the way.","Animation, Drama, Action",English,United States