title,genres,language,seasons
Mr. Sunshine,"Korean Drama, Action, Drama, Romance, War",Korean,1
Pod prikritie,"Action, Crime, Drama",Bulgarian,5
Foyle's War,"Period Drama, Police Procedural, Whodunnit, Crime, Drama, Mystery, War",English,8
Letterkenny,"Quirky Comedy, Sitcom, Comedy",English,12
Gintama,"Anime, Parody, Satire, Sh≈çnen, Slapstick, Action, Animation, Comedy, Sci-Fi",Japanese,9
From the Earth to the Moon,"Docudrama, Action, Drama, History, Thriller",English,1
Wentworth Prison,"Prison Drama, Crime, Drama, Thriller",English,9
Umbre,"Gangster, Crime, Drama, Thriller","English, Romanian",3
All Creatures Great & Small,"Period Drama, Comedy, Drama",English,5
Extraordinary Attorney Woo,"Korean Drama, Legal Drama, Drama",Korean,1
Avrupa Yakasi,"Sitcom, Comedy",Turkish,6
Doctor Who,"Sci-Fi Epic, Space Sci-Fi, Time Travel, Adventure, Drama, Sci-Fi",English,15
Hannibal,"Psychological Horror, Psychological Thriller, Serial Killer, Crime, Drama, Horror, Mystery, Thriller",English,3
North & South,"Coming-of-Age, Costume Drama, Period Drama, Drama, Romance",English,1
The Expanse,"Dystopian Sci-Fi, Space Sci-Fi, Drama, Mystery, Sci-Fi",English,6
Fullmetal Alchemist,"Anime, Sh≈çnen, Steampunk, Action, Adventure, Animation, Comedy, Drama, Fantasy, Sci-Fi",Japanese,1
Futurama,"Adult Animation, Hand-Drawn Animation, Satire, Sitcom, Space Sci-Fi, Adventure, Animation, Comedy, Sci-Fi",English,14
Rurôni Kenshin: Meiji kenkaku romantan - Tsuioku-hen,"Anime, Samurai, Sh≈çnen, Action, Adventure, Animation, Drama, History, Romance",Japanese,1
Shameless,"Dark Comedy, Comedy, Drama",English,11
My Brilliant Friend,"Coming-of-Age, Drama",Italian,4
Silicon Valley,"Quirky Comedy, Sitcom, Comedy",English,6
Skam,"Coming-of-Age, Teen Drama, Drama, Romance",Norwegian,4
Brass Eye,"Parody, Satire, Comedy",English,2
Alchemy of Souls,"Dark Fantasy, Fantasy Epic, Feel-Good Romance, Korean Drama, Sword & Sorcery, Action, Drama, Fantasy, Romance, Thriller",Korean,2
Schitt's Creek,"Satire, Sitcom, Comedy",English,6
Formula 1: Drive to Survive,"Docuseries, Motorsport, Sports Documentary, Documentary, Sport",English,7
Spartacus: Gods of the Arena,"Action Epic, Period Drama, Sword & Sandal, Action, Adventure, Biography, Drama, History, Romance",English,1
Trailer Park Boys,"Mockumentary, Raunchy Comedy, Sitcom, Stoner Comedy, Comedy, Crime",English,12
Neon Genesis Evangelion,"Action Epic, Adult Animation, Alien Invasion, Anime, Coming-of-Age, Cyberpunk, Dystopian Sci-Fi, Epic, Hand-Drawn Animation, Kaiju",Japanese,1
The Office UK,"Mockumentary, Satire, Sitcom, Comedy, Drama",English,3
Through the Wormhole,"Science & Technology Documentary, Documentary",English,7
Derry Girls,"Sitcom, Teen Comedy, Comedy",English,3
Twin Peaks,"Psychological Horror, Suspense Mystery, Crime, Drama, Horror, Mystery, Thriller",English,3
Louie,"Dark Comedy, Comedy, Drama",English,5
Sons of Anarchy,"Gangster, Crime, Drama, Thriller",English,7
Whose Line Is It Anyway?,"Sketch Comedy, Talent Competition, Comedy, Game Show",English,8
The Eric Andre Show,"Parody, Sketch Comedy, Comedy, Talk Show",English,6
Regular Show,"Adult Animation, Buddy Comedy, Hand-Drawn Animation, Sitcom, Action, Adventure, Animation, Comedy, Drama, Family",English,8
Spartacus,"Sword & Sandal, Action, Adventure, Biography, Drama, Romance",English,3
Mob Psycho 100,"Anime, Coming-of-Age, Sh≈çnen, Superhero, Teen Fantasy, Action, Animation, Comedy, Drama, Fantasy",Japanese,3
Long Way Round,"Docuseries, Adventure, Documentary",English,1
Spaced,"Quirky Comedy, Sitcom, Comedy",English,2
Jujutsu Kaisen,"Adult Animation, Anime, Dark Fantasy, Sh≈çnen, Supernatural Fantasy, Urban Adventure, Action, Adventure, Animation, Fantasy",Japanese,3
Happy Valley,"Cop Drama, Police Procedural, Crime, Drama, Thriller",English,3
Impractical Jokers,"Hidden Camera, Comedy, Reality TV",English,12
Samurai Jack,"Dark Fantasy, Hand-Drawn Animation, One-Person Army Action, Samurai, Time Travel, Action, Adventure, Animation, Drama, Fantasy",English,5
Detectorists,"Buddy Comedy, Sitcom, Comedy",English,3
I'm Alan Partridge,"Satire, Sitcom, Comedy",English,2
Mr. Robot,"Cyber Thriller, Psychological Drama, Psychological Thriller, Crime, Drama, Thriller",English,4
Ezel,"Crime, Drama, Thriller",Turkish,2
Yellowstone,"Contemporary Western, Epic, Western Epic, Drama, Western",English,5
Senke nad Balkanom,"Crime, Drama, Thriller",Serbian,2
Making a Murderer,"Crime Documentary, Docuseries, True Crime, Crime, Documentary",English,2
The Bear,"Psychological Drama, Workplace Drama, Comedy, Drama",English,4
Coupling,"Farce, Raunchy Comedy, Sitcom, Comedy, Romance",English,4
The IT Crowd,"Quirky Comedy, Sitcom, Comedy",English,5
Rocket Boys,"Historical Epic, Drama, History",Hindi,2
The Queen's Gambit,"Coming-of-Age, Epic, Period Drama, Psychological Drama, Drama",English,1
Samurai Champloo,"Adult Animation, Anime, Martial Arts, Samurai, Action, Adventure, Animation, Comedy, Drama, Thriller",Japanese,1
Flight of the Conchords,"Quirky Comedy, Comedy, Music, Musical",English,2
"Yes, Prime Minister","Satire, Sitcom, Comedy",English,2
Endeavour,"Cop Drama, Whodunnit, Crime, Drama, Mystery",English,9
The Venture Bros.,"Adult Animation, Hand-Drawn Animation, Parody, Superhero, Action, Adventure, Animation, Comedy, Fantasy, Sci-Fi",English,7
Battlestar Galactica,"Artificial Intelligence, Space Sci-Fi, Action, Adventure, Drama, Sci-Fi",English,4
Justice League,"Hand-Drawn Animation, Superhero, Action, Adventure, Animation, Family, Fantasy, Mystery, Sci-Fi",English,2
The Haunting of Hill House,"Psychological Horror, Supernatural Horror, Drama, Horror, Mystery, Thriller",English,1
The Family Man,"Action, Comedy, Drama, Thriller",Hindi,3
What We Do in the Shadows,"Mockumentary, Sitcom, Vampire Horror, Comedy, Fantasy, Horror",English,6
The Bugs Bunny Show,"Hand-Drawn Animation, Animation, Comedy",English,3
Justified,"Contemporary Western, Cop Drama, Police Procedural, Action, Crime, Drama, Mystery, Thriller, Western",English,6
QI,"Comedy, Game Show",English,22
Young Justice,"Superhero, Action, Adventure, Animation, Crime, Fantasy, Romance, Sci-Fi",English,4
Homicide: Life on the Street,"Cop Drama, Police Procedural, Crime, Drama, Mystery, Thriller",English,7
Demon Slayer: Kimetsu no Yaiba,"Anime, Dark Fantasy, Sh≈çnen, Supernatural Fantasy, Action, Adventure, Animation, Fantasy, Thriller",Japanese,5
Yeh Meri Family,"Comedy, Drama, Family, Musical, Romance",Hindi,4
Boardwalk Empire,"Epic, Gangster, Period Drama, Political Drama, Crime, Drama",English,5
El Chavo del Ocho,"Slapstick, Comedy, Family",Spanish,7
The Bureau,"Political Drama, Political Thriller, Spy, Drama, Thriller",French,5
Dopesick,"Docudrama, Medical Drama, Tragedy, Drama",English,1
The Newsroom,"Political Drama, Workplace Drama, Drama",English,3
Archer,"Adult Animation, Parody, Sitcom, Action, Animation, Comedy",English,14
Critical Role,"Quest, Adventure, Fantasy",English,3
Mystery Science Theatre 3000,"Farce, Quirky Comedy, Space Sci-Fi, Comedy, Sci-Fi",English,11
Anne,"Period Drama, Teen Drama, Drama, Family",English,3
Greatest Events of WWII in Colour,"History Documentary, Military Documentary, Documentary, History, War",English,1
Blackadder the Third,"Satire, Comedy",English,1
Pose,"Epic, Drama",English,3
Yes Minister,"Satire, Sitcom, Comedy",English,3
Gomorrah,"Epic, Gangster, Crime, Drama, Thriller",Spanish,5
Scavengers Reign,"Adult Animation, Sci-Fi Epic, Space Sci-Fi, Adventure, Animation, Drama, Sci-Fi",English,1
Fighting Spirit,"Anime, Boxing, Sh≈çnen, Action, Animation, Comedy, Sport",English,1
The Offer,"Docudrama, Showbiz Drama, Biography, Crime, Drama",English,1
Crash Landing on You,"Feel-Good Romance, Korean Drama, Adventure, Comedy, Drama, Romance",Korean,1
The Return of Sherlock Holmes,"Police Procedural, Whodunnit, Crime, Drama, Mystery",English,2
The Jinx: The Life and Deaths of Robert Durst,"Crime Documentary, Docuseries, True Crime, Biography, Crime, Documentary, Mystery",English,2
Haikyuu!!,"Anime, Sh≈çnen, Teen Comedy, Teen Drama, Animation, Comedy, Drama, Sport",Japanese,4
Mr. Bean,"Sitcom, Slapstick, Comedy, Family",English,1
Poirot,"Cozy Mystery, Police Procedural, Whodunnit, Crime, Drama, Mystery, Thriller",English,13
Mindhunter,"Cop Drama, Docudrama, Police Procedural, Psychological Drama, Psychological Thriller, Serial Killer, Crime, Drama, Mystery, Thriller",English,2
Lonesome Dove,"Epic, Western Epic, Adventure, Drama, Western",English,1
Blackadder II,"Satire, Sitcom, Comedy",English,1
Shōgun,"Action Epic, Period Drama, War Epic, Adventure, Drama, History, War",Japanese,1
Primal,"Adult Animation, Dinosaur Adventure, Action, Adventure, Animation, Drama, Fantasy, Horror",English,2
Daredevil,"Gangster, Legal Drama, Superhero, Action, Crime, Drama, Fantasy, Sci-Fi, Thriller",English,3
The Bridge,"Cop Drama, Police Procedural, Serial Killer, Suspense Mystery, Crime, Mystery, Thriller",Danish,4
Mr Inbetween,"Comedy, Crime, Drama",English,3
The Penguin,"Gangster, Tragedy, Crime, Drama",English,1
It's a Sin,"Coming-of-Age, Drama",English,1
Ramayan,"Epic, Fantasy Epic, Period Drama, Adventure, Drama, Family, Fantasy, Musical, War",Sanskrit,1
The Crown,"Costume Drama, Epic, Historical Epic, Period Drama, Political Drama, Biography, Drama, History",English,6
Adventure Time,"Adult Animation, Buddy Comedy, Hand-Drawn Animation, Sword & Sorcery, Teen Adventure, Teen Comedy, Teen Fantasy, Action, Adventure, Animation",English,10
Dexter,"Psychological Drama, Psychological Thriller, Serial Killer, Suspense Mystery, Crime, Drama, Mystery, Thriller",English,8
Deadwood,"Classical Western, Epic, Historical Epic, Period Drama, Crime, Drama, History, Western",English,3
Atlanta,"Satire, Comedy, Drama, Music",English,4
The X Files,"Alien Invasion, Conspiracy Thriller, Police Procedural, Suspense Mystery, Adventure, Crime, Drama, Mystery, Sci-Fi, Thriller",English,11
House of Cards,"Epic, Political Drama, Drama",English,6
Parks and Recreation,"Mockumentary, Satire, Sitcom, Comedy",English,7
Aspirants,"Workplace Drama, Drama",Hindi,2
The Mandalorian,"Action Epic, Adventure Epic, Fantasy Epic, One-Person Army Action, Sci-Fi Epic, Space Sci-Fi, Action, Adventure, Fantasy, Sci-Fi",English,3
Code Geass: Lelouch of the Rebellion,"Anime, Mecha, Political Drama, Supernatural Fantasy, Action, Animation, Drama, Fantasy, Sci-Fi, Thriller",Japanese,2
Father Ted,"Sitcom, Comedy",English,3
Sarabhai V/S Sarabhai,"Sitcom, Comedy",Hindi,2
This Is Us,"Epic, Romantic Epic, Comedy, Drama, Romance",English,6
Behzat Ç: An Ankara Detective Story,"Cop Drama, Police Procedural, Crime, Drama, Mystery, Thriller",Turkish,4
How to with John Wilson,"Docuseries, Comedy, Documentary",English,3
The Thick of It,"Satire, Sitcom, Comedy",English,4
1883,"Period Drama, Western Epic, Drama, Western",English,1
Top Gear,"Motorsport, Travel, Adventure, Sport, Talk Show",English,33
Stranger Things,"Dark Fantasy, Fantasy Epic, Monster Horror, Sci-Fi Epic, Supernatural Fantasy, Supernatural Horror, Teen Horror, Drama, Fantasy, Horror",English,5
The Marvelous Mrs. Maisel,"Period Drama, Showbiz Drama, Comedy, Drama",English,5
Line of Duty,"Cop Drama, Police Procedural, Suspense Mystery, Crime, Drama, Mystery, Thriller",English,6
Mahabharat,"Epic, Period Drama, War Epic, Action, Adventure, Drama, Fantasy, History, Musical, War",Hindi,1
Friday Night Lights,"Coming-of-Age, Football, Teen Drama, Drama, Sport",English,5
The Boys,"Dark Comedy, Raunchy Comedy, Satire, Superhero, Action, Comedy, Crime, Drama, Sci-Fi",English,5
Invincible,"Adult Animation, Superhero, Action, Adventure, Animation, Drama, Fantasy, Sci-Fi, Thriller",English,4
The Adventures of Sherlock Holmes,"Police Procedural, Whodunnit, Crime, Drama, Mystery",English,2
Justice League Unlimited,"Hand-Drawn Animation, Superhero, Action, Adventure, Animation, Family, Fantasy, Sci-Fi",English,3
Monster,"Adult Animation, Anime, Psychological Thriller, Seinen, Animation, Crime, Drama, Mystery, Thriller",Japanese,1
Naruto: Shippuden,"Anime, Martial Arts, Sh≈çnen, Action, Adventure, Animation, Comedy, Drama, Fantasy",Japanese,21
One Punch Man,"Anime, Superhero, Action, Animation, Comedy, Family, Fantasy, Sci-Fi",Japanese,2
Arrested Development,"Quirky Comedy, Sitcom, Comedy",English,5
House M.D.,"Medical Drama, Drama, Mystery",English,8
Star Trek: The Next Generation,"Space Sci-Fi, Action, Adventure, Drama, Sci-Fi",English,7
Peep Show,"Buddy Comedy, Quirky Comedy, Sitcom, Comedy",English,9
The Simpsons,"Adult Animation, Farce, Hand-Drawn Animation, Satire, Sitcom, Animation, Comedy",English,36
Mad Men,"Epic, Period Drama, Workplace Drama, Drama",English,7
Blue Eye Samurai,"Adult Animation, Period Drama, Samurai, Action, Adventure, Animation, Drama, History, Thriller",English,1
The Grand Tour,"Motorsport, Comedy, Sport, Talk Show",English,6
The Shield,"Cop Drama, Police Procedural, Crime, Drama, Thriller",English,7
Downton Abbey,"Costume Drama, Period Drama, Drama, Romance",English,6
The Last of Us,"Dystopian Sci-Fi, Quest, Survival, Zombie Horror, Action, Adventure, Drama, Horror, Sci-Fi, Thriller",English,2
Fleabag,"Dark Comedy, Raunchy Comedy, Comedy, Drama",English,2
Severance,"Conspiracy Thriller, Dystopian Sci-Fi, Psychological Drama, Psychological Thriller, Workplace Drama, Drama, Mystery, Sci-Fi, Thriller",English,2
Dark,"Epic, Psychological Drama, Psychological Thriller, Suspense Mystery, Time Travel, Crime, Drama, Mystery, Sci-Fi, Thriller",German,3
Berserk,"Action Epic, Adult Animation, Adventure Epic, Anime, Dark Fantasy, Epic, Fantasy Epic, Hand-Drawn Animation, Seinen, Splatter Horror",Japanese,1
My Mister,"Korean Drama, Drama, Family",Korean,1
Oz,"Prison Drama, Crime, Drama, Thriller",English,6
Rome,"Period Drama, Sword & Sandal, Action, Drama, Romance, War",English,2
Steins;Gate,"Anime, Time Travel, Animation, Comedy, Drama, Mystery, Romance, Sci-Fi, Thriller",Japanese,1
Six Feet Under,"Dark Comedy, Psychological Drama, Comedy, Drama",English,5
X-Men '97,"Adult Animation, Superhero, Action, Adventure, Animation, Fantasy, Sci-Fi",English,1
Peaky Blinders,"Gangster, Period Drama, Crime, Drama",English,6
Reply 1988,"Korean Drama, Comedy, Drama, Family, Romance",Korean,1
Ted Lasso,"Soccer, Workplace Drama, Comedy, Drama, Sport",English,3
Over the Garden Wall,"Dark Fantasy, Folk Horror, Supernatural Fantasy, Supernatural Horror, Adventure, Animation, Comedy, Drama, Family, Fantasy",English,1
Black Mirror,"Cyber Thriller, Dystopian Sci-Fi, Psychological Drama, Psychological Thriller, Suspense Mystery, Tragedy, Crime, Drama, Mystery, Sci-Fi",English,7
South Park,"Adult Animation, Dark Comedy, Farce, Parody, Raunchy Comedy, Satire, Sitcom, Animation, Comedy",English,26
Kota Factory,"Comedy, Drama",Hindi,3
"I, Claudius","Epic, Period Drama, Political Drama, Sword & Sandal, Biography, Drama, History",English,1
Gullak,"Comedy, Drama, Family",Hindi,4
Vinland Saga,"Adult Animation, Anime, Historical Epic, One-Person Army Action, Period Drama, Seinen, Tragedy, Action, Adventure, Animation",Japanese,1
Bleach: Thousand-Year Blood War,"Anime, Sh≈çnen, Supernatural Fantasy, Urban Adventure, Action, Adventure, Animation, Fantasy",Japanese,3
Narcos,"Docudrama, Drug Crime, Epic, Police Procedural, True Crime, Biography, Crime, Drama, Thriller",English,3
Chappelle's Show,"Satire, Sketch Comedy, Comedy, Music",English,3
Dragon Ball ,"Adult Animation, Anime, Hand-Drawn Animation, Martial Arts, Sh≈çnen, Superhero, Supernatural Fantasy, Action, Adventure, Animation",Japanese,6
Freaks and Geeks,"Coming-of-Age, Teen Comedy, Teen Drama, Comedy, Drama",English,1
Pride and Prejudice,"Costume Drama, Period Drama, Romantic Epic, Drama, Romance",English,1
Blackadder Goes Forth,"Satire, Sitcom, Comedy, War",English,1
Panchayat,"Comedy, Drama",Hindi,4
Dragon Ball Z,"Anime, Hand-Drawn Animation, Martial Arts, Sh≈çnen, Superhero, Supernatural Fantasy, Action, Adventure, Animation, Fantasy",Japanese,9
Leyla ile Mecnun,"Romantic Epic, Adventure, Comedy, Drama, Fantasy, Mystery, Romance",Turkish,7
Fawlty Towers,"Farce, Sitcom, Slapstick, Comedy",English,2
The Chosen,"Historical Epic, Drama, History",English,5
BoJack Horseman,"Adult Animation, Dark Comedy, Psychological Drama, Satire, Showbiz Drama, Sitcom, Animation, Comedy, Drama",English,6
Das Boot,"War Epic, Drama, War",German,1
Curb Your Enthusiasm,"Dark Comedy, Sitcom, Comedy",English,12
Monty Python's Flying Circus,"Farce, Satire, Sketch Comedy, Slapstick, Comedy",English,4
One Piece,"Action Epic, Adult Animation, Adventure Epic, Anime, Fantasy Epic, Globetrotting Adventure, Martial Arts, Quest, Sea Adventure, Sh≈çnen",Japanese,1
The West Wing,"Political Drama, Drama",English,7
TVF Pitchers,"Comedy, Drama",Hindi,2
Succession,"Dark Comedy, Epic, Satire, Tragedy, Workplace Drama, Comedy, Drama, Financial Drama",English,4
It's Always Sunny in Philadelphia,"Dark Comedy, Satire, Sitcom, Comedy",English,17
Last Week Tonight with John Oliver,"News, Satire, Comedy, Talk Show",English,12
Friends,"Feel-Good Romance, Parody, Romantic Comedy, Sitcom, Comedy, Romance",English,10
When They See Us,"Docudrama, Legal Drama, Teen Drama, True Crime, Biography, Crime, Drama, History",English,1
Africa,"Nature Documentary, Documentary",English,1
Frieren: Beyond Journey's End,"Anime, Fantasy Epic, Iyashikei, Sh≈çnen, Sword & Sorcery, Adventure, Animation, Comedy, Drama, Fantasy",Japanese,1
Taskmaster,"Comedy, Game Show",English,19
Apocalypse: The Second World War,"History Documentary, Military Documentary, Documentary, History, War",French,1
Sahsiyet,"Psychological Thriller, Crime, Drama, Mystery, Thriller",Turkish,2
Nathan for You,"Docuseries, Quirky Comedy, Comedy, Documentary",English,4
Fargo,"Dark Comedy, Crime, Drama, Thriller",English,5
True Detective,"Cop Drama, Epic, Hard-boiled Detective, Police Procedural, Psychological Drama, Psychological Thriller, Serial Killer, Suspense Mystery, Whodunnit, Crime",English,4
As If,"Buddy Comedy, Comedy",Turkish,5
Cowboy Bebop,"Adult Animation, Anime, Cyberpunk, Space Sci-Fi, Action, Adventure, Animation, Comedy, Drama, Sci-Fi",Japanese,1
The Beatles: Get Back,"Docuseries, Music Documentary, Biography, Documentary, Music",English,1
Dekalog,"Psychological Drama, Drama",Polish,1
Seinfeld,"Sitcom, Comedy",English,9
Gravity Falls,"Dark Fantasy, High-Concept Comedy, Quirky Comedy, Satire, Supernatural Fantasy, Adventure, Animation, Comedy, Family, Fantasy",English,2
Death Note,"Adult Animation, Anime, Cop Drama, Hard-boiled Detective, Legal Drama, Police Procedural, Psychological Drama, Psychological Thriller, Serial Killer, Sh≈çnen",Japanese,1
The Civil War,"Docuseries, History Documentary, Military Documentary, Documentary, History, War",English,1
Only Fools and Horses,"Sitcom, Comedy",English,9
Firefly,"Space Sci-Fi, Adventure, Drama, Sci-Fi",English,1
Hunter x Hunter,"Adult Animation, Anime, Quest, Sh≈çnen, Supernatural Fantasy, Action, Adventure, Animation, Comedy, Fantasy",Japanese,1
Frozen Planet,"Nature Documentary, Documentary",English,1
Human Planet,"Nature Documentary, Travel Documentary, Documentary",English,1
Scam 1992: The Harshad Mehta Story,"Docudrama, True Crime, Biography, Crime, Drama, Thriller, Financial Drama",Hindi,1
Clarkson's Farm,"Comedy, Documentary, Reality TV",English,4
The Blue Planet,"Nature Documentary, Documentary",English,1
The Office,"Mockumentary, Sitcom, Comedy",English,9
Better Call Saul,"Drug Crime, Epic, Legal Drama, Psychological Drama, Tragedy, Crime, Drama",English,6
Arcane,"Action Epic, Adult Animation, Computer Animation, Steampunk, Supernatural Fantasy, Action, Adventure, Animation, Drama, Fantasy",English,2
Batman: The Animated Series,"Hand-Drawn Animation, Superhero, Urban Adventure, Action, Adventure, Animation, Crime, Family, Mystery, Sci-Fi",English,4
Sherlock,"Police Procedural, Whodunnit, Crime, Drama, Mystery, Thriller",English,4
Attack on Titan,"Action Epic, Adult Animation, Anime, Sh≈çnen, Survival, Tragedy, Action, Adventure, Animation, Drama",Japanese,4
The Vietnam War,"Docuseries, History Documentary, Military Documentary, Documentary, History, War",English,1
The Twilight Zone,"Dark Fantasy, Dystopian Sci-Fi, Space Sci-Fi, Supernatural Fantasy, Supernatural Horror, Time Travel, Drama, Fantasy, Horror, Mystery",English,5
The Last Dance,"Basketball, Docuseries, Sports Documentary, Biography, Documentary, History, Sport",English,1
Rick and Morty,"Adult Animation, Farce, Parody, Satire, Sitcom, Time Travel, Adventure, Animation, Comedy, Sci-Fi",English,8
Life,"Docuseries, Nature Documentary, Documentary",English,1
Fullmetal Alchemist: Brotherhood,"Anime, Sh≈çnen, Steampunk, Action, Adventure, Animation, Comedy, Drama, Fantasy, Sci-Fi",Japanese,1
The World at War,"Docuseries, History Documentary, Military Documentary, Documentary, History, War",English,1
Bluey,"Animal Adventure, Animation, Family",English,4
Game of Thrones,"Action Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Tragedy, Action, Adventure, Drama, Fantasy",English,8
Our Planet,"Docuseries, Nature Documentary, Documentary",English,2
Cosmos,"Science & Technology Documentary, Documentary",English,1
Cosmos (new),"Docuseries, Science & Technology Documentary, Documentary",English,1
The Sopranos,"Epic, Gangster, Crime, Drama",English,6
Blue Planet II,"Nature Documentary, Documentary",English,1
Avatar: The Last Airbender,"Globetrotting Adventure, Hand-Drawn Animation, Martial Arts, Quest, Supernatural Fantasy, Teen Fantasy, Action, Adventure, Animation, Family",English,2
The Wire,"Cop Drama, Drug Crime, Epic, Police Procedural, Crime, Drama, Thriller",English,5
Chernobyl,"Disaster, Docudrama, Epic, Historical Epic, Period Drama, Drama, History, Thriller",English,1
Band of Brothers,"Historical Epic, Tragedy, War Epic, Action, Drama, History, War",English,1
Planet Earth,"Docuseries, Nature Documentary, Documentary, Family",English,1
Planet Earth II,"Docuseries, Nature Documentary, Documentary",English,1
Breaking Bad,"Drug Crime, Epic, Psychological Drama, Psychological Thriller, Tragedy, Crime, Drama, Thriller",English,5